Date,Description,Amount,Running Bal.,Category
2022-11-17,Beginning balance as of 11/17/2022,,8323.28,misc
2022-11-28,BKOFAMERICA MOBILE 11/27 XXXXX95645 DEPOSIT *MOBILE TX,319.33,8642.61,Finance
2022-11-30,Zelle Transfer Conf# ixv4r8sis; Dad,-3000.0,5642.61,Finance
2022-12-01,Zelle Transfer Conf# bxhx6sv91; Dad,-3000.0,2642.61,Finance
2022-12-02,MURPHY EXPRESS 12/02 PURCHASE ARLINGTON TX,-22.03,2620.58,Transportation
2023-01-05,eBayCommerce 01/05 PURCHASE San Jose CA,-136.29,2484.29,Shopping
2023-01-12,"UT ARLINGTON DES:PAYMENTS ID:APXXXXX79134 INDN:Tran,Vincent CO ID:UTARL11296 CTX ADDITIONAL INFORMATION IS AVAILABLE FOR THIS PMT. CONTACT A TREASURY SALES OFFICER FOR ASSISTANCE.",3719.5,6203.79,Finance
2023-01-19,NST BEST BUY # 01/19 PURCHASE ARLINGTON TX,-32.46,6171.33,Shopping
2023-01-19,MURPHY EXPRESS 01/19 PURCHASE ARLINGTON TX,-26.33,6145.0,Transportation
2023-01-24,"UT ARLINGTON DES:PAYMENTS ID:APXXXXX96695 INDN:Tran,Vincent CO ID:UTARL11296 CTX ADDITIONAL INFORMATION IS AVAILABLE FOR THIS PMT. CONTACT A TREASURY SALES OFFICER FOR ASSISTANCE.",1000.0,7145.0,Finance
2023-01-27,Zelle Transfer Conf# T0QYYL5F5; CUONG TRAN,500.0,7645.0,Finance
2023-01-27,UTA BOOKSTORE #81 01/26 PURCHASE XXX-XX15151 IL,-46.5,7598.5,Shopping
2023-01-31,Amazon.com*N349B1 01/28 PURCHASE Amzn.com/bill WA,-202.39,7396.11,Shopping
2023-02-06,EXPRT TA COL HOME 02/02 PURCHASE XXXXX09876 TN,-75.0,7321.11,Misc
2023-02-09,MURPHY EXPRESS 02/08 PURCHASE ARLINGTON TX,-27.46,7293.65,Transportation
2023-02-13,BON K BBQ 02/10 PURCHASE ARLINGTON TX,-24.47,7269.18,Food
2023-02-22,AMZN Mktp US*HD4U 02/21 PURCHASE Amzn.com/bill WA,-17.47,7251.71,Shopping
2023-02-22,APPLE.COM/BILL 02/22 PURCHASE 866-712-7753 CA,-0.99,7250.72,Shopping
2023-02-23,AMZN Mktp US*HD9L 02/21 PURCHASE Amzn.com/bill WA,-10.79,7239.93,Shopping
2023-02-27,MURPHY EXPRESS 02/27 PURCHASE ARLINGTON TX,-25.86,7214.07,Transportation
2023-03-08,TAQUERIA TAXCO 03/07 PURCHASE ARLINGTON TX,-13.68,7200.39,Food
