Description,,Summary Amt.
Beginning balance as of 04/23/2024,,"907.26"
Total credits,,"935.00"
Total debits,,"-552.47"
Ending balance as of 05/22/2024,,"1,289.79"

Date,Description,Amount,Running Bal.
04/23/2024,Beginning balance as of 04/23/2024,,"907.26"
04/23/2024,"MURPHY EXPRESS 04/23 MOBILE PURCHASE ARLINGTON TX","-37.61","869.65"
04/25/2024,"ORACL*WAFFLE HOUS 04/24 MOBILE PURCHASE Arlington TX","-10.75","858.90"
05/01/2024,"Zelle payment to Paul Do Conf# g9zcibmf8","-24.68","834.22"
05/01/2024,"Zelle payment to Truc An Conf# i8s2dw7ba","-6.00","828.22"
05/02/2024,"85C BAKERY CAFE G 05/01 MOBILE PURCHASE GRAND PRAIRIE TX","-5.47","822.75"
05/03/2024,"Zelle payment to Truc An Conf# hdtcs78og","-6.00","816.75"
05/06/2024,"AMZN DIGITAL*HW2D 05/04 PURCHASE XXXXX61072 WA","-21.66","795.09"
05/06/2024,"Zelle payment to Truc An Conf# hghx4tc14","-6.00","789.09"
05/08/2024,"UTA BOOKSTORE #81 05/06 MOBILE PURCHASE ARLINGTON TX","-0.50","788.59"
05/08/2024,"TARGET 000 05/07 PURCHASE ARLINGTON TX","-8.65","779.94"
05/13/2024,"AMZN DIGITAL*0313 05/11 PURCHASE XXXXX61072 WA","-21.66","758.28"
05/14/2024,"Zelle payment to Truc An Conf# cdmpb5gof","-3.00","755.28"
05/15/2024,"10402 CAVA CHAMPI 05/14 MOBILE PURCHASE ARLINGTON TX","-15.59","739.69"
05/15/2024,"FRONTIER 05/14 PURCHASE XXXXX44390 CO","-190.96","548.73"
05/15/2024,"DISCOVER DES:E-PAYMENT ID:3186 INDN:TRAN VINCENT CO ID:XXXXX20270 WEB","-38.46","510.27"
05/16/2024,"Zelle payment from JASON NGUYEN Conf# fej7lpt5s","300.00","810.27"
05/16/2024,"Alibaba.com 05/16 PURCHASE XXXXX55580 CA","-154.49","655.78"
05/20/2024,"BKOFAMERICA ATM 05/18 #XXXXX4891 DEPOSIT COOPER ARLINGTON TX","635.00","1,290.78"
05/22/2024,"APPLE.COM/BILL 05/21 PURCHASE XXXXX27753 CA","-0.99","1,289.79"
