Description,,Summary Amt.
Beginning balance as of 11/17/2022,,"8,323.28"
Total credits,,"13,777.27"
Total debits,,"-21,444.77"
Ending balance as of 05/17/2024,,"655.78"

Date,Description,Amount,Running_Bal
11/17/2022,Beginning balance as of 11/17/2022,,"8,323.28"
11/28/2022,"BKOFAMERICA MOBILE 11/27 XXXXX95645 DEPOSIT *MOBILE TX","319.33","8,642.61"
11/30/2022,"Zelle Transfer Conf# ixv4r8sis; Dad","-3,000.00","5,642.61"
12/01/2022,"Zelle Transfer Conf# bxhx6sv91; Dad","-3,000.00","2,642.61"
12/02/2022,"MURPHY EXPRESS 12/02 PURCHASE ARLINGTON TX","-22.03","2,620.58"
01/05/2023,"eBayCommerce 01/05 PURCHASE San Jose CA","-136.29","2,484.29"
01/12/2023,"UT ARLINGTON DES:PAYMENTS ID:APXXXXX79134 INDN:Tran,Vincent CO ID:UTARL11296 CTX ADDITIONAL INFORMATION IS AVAILABLE FOR THIS PMT. CONTACT A TREASURY SALES OFFICER FOR ASSISTANCE.","3,719.50","6,203.79"
01/19/2023,"NST BEST BUY # 01/19 PURCHASE ARLINGTON TX","-32.46","6,171.33"
01/19/2023,"MURPHY EXPRESS 01/19 PURCHASE ARLINGTON TX","-26.33","6,145.00"
01/24/2023,"UT ARLINGTON DES:PAYMENTS ID:APXXXXX96695 INDN:Tran,Vincent CO ID:UTARL11296 CTX ADDITIONAL INFORMATION IS AVAILABLE FOR THIS PMT. CONTACT A TREASURY SALES OFFICER FOR ASSISTANCE.","1,000.00","7,145.00"
01/27/2023,"Zelle Transfer Conf# T0QYYL5F5; CUONG TRAN","500.00","7,645.00"
01/27/2023,"UTA BOOKSTORE #81 01/26 PURCHASE XXX-XX15151 IL","-46.50","7,598.50"
01/31/2023,"Amazon.com*N349B1 01/28 PURCHASE Amzn.com/bill WA","-202.39","7,396.11"
02/06/2023,"EXPRT TA COL HOME 02/02 PURCHASE XXXXX09876 TN","-75.00","7,321.11"
02/09/2023,"MURPHY EXPRESS 02/08 PURCHASE ARLINGTON TX","-27.46","7,293.65"
02/13/2023,"BON K BBQ 02/10 PURCHASE ARLINGTON TX","-24.47","7,269.18"
02/22/2023,"AMZN Mktp US*HD4U 02/21 PURCHASE Amzn.com/bill WA","-17.47","7,251.71"
02/22/2023,"APPLE.COM/BILL 02/22 PURCHASE 866-712-7753 CA","-0.99","7,250.72"
02/23/2023,"AMZN Mktp US*HD9L 02/21 PURCHASE Amzn.com/bill WA","-10.79","7,239.93"
02/27/2023,"MURPHY EXPRESS 02/27 PURCHASE ARLINGTON TX","-25.86","7,214.07"
03/08/2023,"TAQUERIA TAXCO 03/07 PURCHASE ARLINGTON TX","-13.68","7,200.39"
03/09/2023,"Zelle Transfer Conf# 999tvc2hn; DEVON DANG","10.00","7,210.39"
03/13/2023,"WM SUPERCENTER 03/10 PURCHASE ARLINGTON (N) TX","-55.82","7,154.57"
03/13/2023,"AMZN DIGITAL*HG8F 03/11 PURCHASE 888-802-3080 WA","-21.66","7,132.91"
03/14/2023,"Zelle Transfer Conf# 999u2anqg; DEVON DANG","25.00","7,157.91"
03/16/2023,"IHOP 1432 03/14 PURCHASE 763-576-3000 TX","-52.50","7,105.41"
03/20/2023,"MURPHY EXPRESS 03/20 PURCHASE ARLINGTON TX","-27.79","7,077.62"
03/21/2023,"APPLE.COM/BILL 03/21 PURCHASE 866-712-7753 CA","-0.99","7,076.63"
04/05/2023,"MURPHY EXPRESS 04/05 PURCHASE ARLINGTON TX","-32.56","7,044.07"
04/24/2023,"APPLE.COM/BILL 04/21 PURCHASE 866-712-7753 CA","-0.99","7,043.08"
04/24/2023,"UTA PARK TRANS MA 04/20 PURCHASE ARLINGTON TX","-45.00","6,998.08"
04/27/2023,"MURPHY EXPRESS 04/27 PURCHASE ARLINGTON TX","-30.61","6,967.47"
05/04/2023,"TARGET T- 1600 05/04 PURCHASE Arlington TX","-7.03","6,960.44"
05/17/2023,"Zelle Transfer Conf# T0R8MMLLQ; CUONG TRAN","500.00","7,460.44"
05/22/2023,"APPLE.COM/BILL 05/22 PURCHASE 866-712-7753 CA","-0.99","7,459.45"
05/26/2023,"PORT OF SUBS 0114 05/24 PURCHASE LAS VEGAS NV","-14.08","7,445.37"
06/05/2023,"MURPHY EXPRESS 06/03 PURCHASE ARLINGTON TX","-27.19","7,418.18"
