Description,,Summary Amt.
Beginning balance as of 05/09/2023,,"6,960.44"
Total credits,,"7,903.44"
Total debits,,"-14,083.94"
Ending balance as of 05/09/2024,,"779.94"

Date,Description,Amount,Running Bal.
05/09/2023,Beginning balance as of 05/09/2023,,"6,960.44"
05/17/2023,"Zelle Transfer Conf# T0R8MMLLQ; CUONG TRAN","500.00","7,460.44"
05/22/2023,"APPLE.COM/BILL 05/22 PURCHASE 866-712-7753 CA","-0.99","7,459.45"
05/26/2023,"PORT OF SUBS 0114 05/24 PURCHASE LAS VEGAS NV","-14.08","7,445.37"
06/05/2023,"MURPHY EXPRESS 06/03 PURCHASE ARLINGTON TX","-27.19","7,418.18"
06/05/2023,"AMZN DIGITAL*N23X 06/03 PURCHASE 888-802-3080 WA","-21.66","7,396.52"
06/09/2023,"Zelle Transfer Conf# 999xqfar7; NIKOLAS K NGUYEN","5.00","7,401.52"
06/12/2023,"UTA ARL MYMAV 06/10 PURCHASE XXXXX22172 TX","-453.99","6,947.53"
06/20/2023,"AMZN DIGITAL*FC82 06/17 PURCHASE XXXXX61072 WA","-21.66","6,925.87"
06/22/2023,"APPLE.COM/BILL 06/21 PURCHASE XXXXX27753 CA","-0.99","6,924.88"
06/26/2023,"AMZN DIGITAL*M57N 06/24 PURCHASE XXXXX61072 WA","-21.66","6,903.22"
07/03/2023,"AMZN DIGITAL*OU7D 07/01 PURCHASE XXXXX61072 WA","-21.66","6,881.56"
07/10/2023,"MURPHY EXPRESS 07/08 PURCHASE ARLINGTON TX","-31.13","6,850.43"
07/10/2023,"AMZN DIGITAL*HP65 07/08 PURCHASE XXXXX61072 WA","-21.66","6,828.77"
07/12/2023,"WM SUPERCENTER 07/12 PURCHASE ARLINGTON TX","-33.50","6,795.27"
07/17/2023,"AMZN DIGITAL*9M51 07/15 PURCHASE XXXXX61072 WA","-21.66","6,773.61"
07/24/2023,"APPLE.COM/BILL 07/21 PURCHASE XXXXX27753 CA","-0.99","6,772.62"
07/31/2023,"MCDONALD'S F10832 07/30 PURCHASE ARLINGTON TX","-8.95","6,763.67"
08/09/2023,"RAISING CANES 009 08/07 PURCHASE ARLINGTON TX","-9.95","6,753.72"
08/14/2023,"AMZN DIGITAL*TO98 08/12 PURCHASE XXXXX61072 WA","-21.66","6,732.06"
08/14/2023,"WHATABURGER 563 08/13 PURCHASE ARLINGTON TX","-11.46","6,720.60"
08/15/2023,"UT ARLINGTON DES:PAYMENTS ID:APXXXXX83473 INDN:Tran,Vincent CO ID:UTARL11296 CTX ADDITIONAL INFORMATION IS AVAILABLE FOR THIS PMT. CONTACT A TREASURY SALES OFFICER FOR ASSISTANCE.","1,046.75","7,767.35"
08/15/2023,"MURPHY EXPRESS 08/15 PURCHASE ARLINGTON TX","-36.18","7,731.17"
08/16/2023,"NINJARAMENANDROYA 08/14 PURCHASE ARLINGTON TX","-6.50","7,724.67"
08/17/2023,"UTA PARK TRANS MA 08/15 PURCHASE ARLINGTON TX","-234.00","7,490.67"
08/21/2023,"AMZN DIGITAL*TQ1S 08/19 PURCHASE XXXXX61072 WA","-21.66","7,469.01"
08/21/2023,"MCDONALD'S F5467 08/20 PURCHASE ARLINGTON TX","-8.09","7,460.92"
08/22/2023,"APPLE.COM/BILL 08/21 PURCHASE XXXXX27753 CA","-0.99","7,459.93"
08/23/2023,"RAISING CANES 009 08/22 PURCHASE ARLINGTON TX","-9.11","7,450.82"
08/24/2023,"Zelle payment from DEVON DANG Conf# 99a153ikg","33.00","7,483.82"
08/24/2023,"EXPRT TA COL HOME 08/22 PURCHASE XXXXX09876 TN","-75.00","7,408.82"
08/24/2023,"UTA BOOKSTORE #81 08/23 PURCHASE XXXXX15151 IL","-47.59","7,361.23"
08/28/2023,"BON K BBQ 08/24 PURCHASE ARLINGTON TX","-66.27","7,294.96"
08/30/2023,"SQ *KONA ICE ARLI 08/29 MOBILE PURCHASE Arlington TX","-10.82","7,284.14"
08/30/2023,"CHICKEN EXPRESS ( 08/29 PURCHASE ARLINGTON TX","-23.79","7,260.35"
08/31/2023,"Cash App DES:* Cash App ID:T3DP243CF5EEXKP INDN:Vincent Tran CO ID:XXXXX29876 PPD","154.82","7,415.17"
09/05/2023,"AMZN DIGITAL*TL1O 09/02 PURCHASE XXXXX61072 WA","-21.66","7,393.51"
09/06/2023,"CHIPOTLE 0792 09/05 MOBILE PURCHASE ARLINGTON TX","-8.98","7,384.53"
09/06/2023,"7-ELEVEN 38324 09/06 PURCHASE ARLINGTON TX","-36.97","7,347.56"
09/18/2023,"Zelle payment from JASON NGUYEN for "Canes"; Conf# eojx2qf7h","10.00","7,357.56"
09/18/2023,"HAPPY LEMON - ARL 09/15 MOBILE PURCHASE ARLINGTON TX","-6.22","7,351.34"
09/18/2023,"AMZN DIGITAL*TX4M 09/16 PURCHASE XXXXX61072 WA","-10.83","7,340.51"
09/18/2023,"RAISING CANES 009 09/17 PURCHASE ARLINGTON TX","-15.82","7,324.69"
09/19/2023,"MCDONALD'S F945 09/18 MOBILE PURCHASE ARLINGTON TX","-11.66","7,313.03"
09/21/2023,"Upside DES:Upside ID: I9X7EV98M INDN:Vincent Tran CO ID:XXXXX0567 PPD","24.32","7,337.35"
09/22/2023,"APPLE.COM/BILL 09/21 PURCHASE XXXXX27753 CA","-0.99","7,336.36"
09/25/2023,"7-ELEVEN 38324 09/23 PURCHASE ARLINGTON TX","-36.35","7,300.01"
09/25/2023,"AMZN DIGITAL*T15N 09/23 PURCHASE XXXXX61072 WA","-10.83","7,289.18"
09/28/2023,"UTA ARL MYMAV 09/26 PURCHASE XXXXX22172 TX","-76.69","7,212.49"
09/29/2023,"UTA MAC TM 09/27 PURCHASE XXXXX21541 TX","-10.00","7,202.49"
10/02/2023,"Zelle payment to Long Conf# guy2ckejk","-37.00","7,165.49"
10/03/2023,"PIRANHA KILLER RA 10/01 PURCHASE ARLINGTON TX","-23.15","7,142.34"
10/04/2023,"Upside DES:Upside ID: I4KL57W2J INDN:Vincent Tran CO ID:XXXXX0567 PPD","14.99","7,157.33"
10/10/2023,"Zelle payment to Cong Tran Conf# cnj6f31ym","-15.00","7,142.33"
10/10/2023,"AMZN DIGITAL*TE7N 10/07 PURCHASE XXXXX61072 WA","-21.66","7,120.67"
10/10/2023,"7-ELEVEN 38324 10/08 PURCHASE ARLINGTON TX","-34.13","7,086.54"
10/16/2023,"MCDONALD'S F94 10/16 MOBILE PURCHASE ARLINGTON TX","-14.14","7,072.40"
10/19/2023,"Zelle payment from KENNY T VI Conf# 99a3so2h1","20.00","7,092.40"
10/23/2023,"APPLE.COM/BILL 10/21 PURCHASE XXXXX27753 CA","-0.99","7,091.41"
